sourceTask,destinationTask,value
FullFrozenT1,CCG,39.7
FullFrozenT1,POS-PTB,61.7
FullFrozenT1,POS-EWT,33.5
FullFrozenT1,Parent,37.9
FullFrozenT1,GParent,35.0
FullFrozenT1,GGParent,25.9
FullFrozenT1,ST,51.2
FullFrozenT1,Chunk,11.9
FullFrozenT1,NER,4.7
FullFrozenT1,GED,16.8
FullFrozenT1,Conj,14.7
FullFrozenT2,CCG,44.9
FullFrozenT2,POS-PTB,74.0
FullFrozenT2,POS-EWT,46.0
FullFrozenT2,Parent,58.1
FullFrozenT2,GParent,41.9
FullFrozenT2,GGParent,30.9
FullFrozenT2,ST,66.1
FullFrozenT2,Chunk,16.6
FullFrozenT2,NER,7.7
FullFrozenT2,GED,18.4
FullFrozenT2,Conj,19.8
FullFrozenT3,CCG,48.1
FullFrozenT3,POS-PTB,76.4
FullFrozenT3,POS-EWT,49.1
FullFrozenT3,Parent,61.5
FullFrozenT3,GParent,43.4
FullFrozenT3,GGParent,31.7
FullFrozenT3,ST,69.2
FullFrozenT3,Chunk,18.4
FullFrozenT3,NER,9.2
FullFrozenT3,GED,18.8
FullFrozenT3,Conj,21.1
FullUnfrozenT1,CCG,95.2
FullUnfrozenT1,POS-PTB,96.6
FullUnfrozenT1,POS-EWT,96.2
FullUnfrozenT1,Parent,95.1
FullUnfrozenT1,GParent,91.1
FullUnfrozenT1,GGParent,88.3
FullUnfrozenT1,ST,95.5
FullUnfrozenT1,Chunk,96.4
FullUnfrozenT1,NER,93.8
FullUnfrozenT1,GED,44.2
FullUnfrozenT1,Conj,88.6
FullUnfrozenT2,CCG,95.5
FullUnfrozenT2,POS-PTB,96.6
FullUnfrozenT2,POS-EWT,96.5
FullUnfrozenT2,Parent,95.3
FullUnfrozenT2,GParent,91.7
FullUnfrozenT2,GGParent,89.3
FullUnfrozenT2,ST,95.7
FullUnfrozenT2,Chunk,96.8
FullUnfrozenT2,NER,94.3
FullUnfrozenT2,GED,46.9
FullUnfrozenT2,Conj,89.9
FullUnfrozenT3,CCG,95.6
FullUnfrozenT3,POS-PTB,96.7
FullUnfrozenT3,POS-EWT,96.6
FullUnfrozenT3,Parent,95.4
FullUnfrozenT3,GParent,91.9
FullUnfrozenT3,GGParent,89.5
FullUnfrozenT3,ST,95.8
FullUnfrozenT3,Chunk,97.1
FullUnfrozenT3,NER,94.7
FullUnfrozenT3,GED,46.6
FullUnfrozenT3,Conj,89.4
LimitedUnfrozenT1,CCG,11.1
LimitedUnfrozenT1,POS-PTB,46.5
LimitedUnfrozenT1,POS-EWT,65.4
LimitedUnfrozenT1,Parent,61.1
LimitedUnfrozenT1,GParent,41.1
LimitedUnfrozenT1,GGParent,25.6
LimitedUnfrozenT1,ST,38.6
LimitedUnfrozenT1,Chunk,68.1
LimitedUnfrozenT1,NER,58.4
LimitedUnfrozenT1,GED,17.3
LimitedUnfrozenT1,Conj,40.6
LimitedUnfrozenT2,CCG,45.2
LimitedUnfrozenT2,POS-PTB,80.5
LimitedUnfrozenT2,POS-EWT,86.8
LimitedUnfrozenT2,Parent,77.0
LimitedUnfrozenT2,GParent,58.0
LimitedUnfrozenT2,GGParent,37.9
LimitedUnfrozenT2,ST,71.3
LimitedUnfrozenT2,Chunk,85.0
LimitedUnfrozenT2,NER,73.5
LimitedUnfrozenT2,GED,27.4
LimitedUnfrozenT2,Conj,69.2
LimitedUnfrozenT3,CCG,53.2
LimitedUnfrozenT3,POS-PTB,85.1
LimitedUnfrozenT3,POS-EWT,89.3
LimitedUnfrozenT3,Parent,81.9
LimitedUnfrozenT3,GParent,62.8
LimitedUnfrozenT3,GGParent,43.3
LimitedUnfrozenT3,ST,76.7
LimitedUnfrozenT3,Chunk,87.7
LimitedUnfrozenT3,NER,77.4
LimitedUnfrozenT3,GED,29.1
LimitedUnfrozenT3,Conj,73.3
