sourceTask,destinationTask,value
CoLA,CoLA,4.7
CoLA,SST-2,1.3
CoLA,MRPC,1.2
CoLA,STS-B,2.3
CoLA,QQP,7.7
CoLA,MNLI,1.0
CoLA,QNLI,1.2
CoLA,RTE,5.2
CoLA,WNLI,4.2
CoLA,SNLI,1.5
CoLA,SciTail,6.5
SST-2,CoLA,74.4
SST-2,SST-2,77.5
SST-2,MRPC,68.4
SST-2,STS-B,75.8
SST-2,QQP,82.0
SST-2,MNLI,85.0
SST-2,QNLI,80.0
SST-2,RTE,77.1
SST-2,WNLI,74.2
SST-2,SNLI,85.9
SST-2,SciTail,81.0
MRPC,CoLA,82.0
MRPC,SST-2,81.9
MRPC,MRPC,81.9
MRPC,STS-B,84.6
MRPC,QQP,83.5
MRPC,MNLI,84.0
MRPC,QNLI,83.8
MRPC,RTE,82.4
MRPC,WNLI,81.9
MRPC,SNLI,82.1
MRPC,SciTail,83.0
STS-B,CoLA,32.7
STS-B,SST-2,29.1
STS-B,MRPC,71.2
STS-B,STS-B,29.9
STS-B,QQP,67.4
STS-B,MNLI,67.3
STS-B,QNLI,68.3
STS-B,RTE,40.8
STS-B,WNLI,30.7
STS-B,SNLI,68.9
STS-B,SciTail,67.7
QQP,CoLA,38.2
QQP,SST-2,33.1
QQP,MRPC,54.2
QQP,STS-B,67.5
QQP,QQP,25.7
QQP,MNLI,66.0
QQP,QNLI,49.4
QQP,RTE,40.6
QQP,WNLI,23.2
QQP,SNLI,64.6
QQP,SciTail,58.8
MNLI,CoLA,39.3
MNLI,SST-2,43.6
MNLI,MRPC,46.3
MNLI,STS-B,49.2
MNLI,QQP,52.4
MNLI,MNLI,38.7
MNLI,QNLI,48.5
MNLI,RTE,41.4
MNLI,WNLI,39.5
MNLI,SNLI,70.3
MNLI,SciTail,50.6
QNLI,CoLA,66.7
QNLI,SST-2,66.4
QNLI,MRPC,73.5
QNLI,STS-B,76.7
QNLI,QQP,77.1
QNLI,MNLI,76.0
QNLI,QNLI,62.4
QNLI,RTE,64.8
QNLI,WNLI,64.0
QNLI,SNLI,72.7
QNLI,SciTail,70.7
RTE,CoLA,56.4
RTE,SST-2,55.0
RTE,MRPC,59.2
RTE,STS-B,62.2
RTE,QQP,62.8
RTE,MNLI,72.8
RTE,QNLI,60.3
RTE,RTE,54.7
RTE,WNLI,56.6
RTE,SNLI,70.8
RTE,SciTail,63.3
WNLI,CoLA,40.1
WNLI,SST-2,39.7
WNLI,MRPC,38.7
WNLI,STS-B,44.6
WNLI,QQP,36.4
WNLI,MNLI,39.4
WNLI,QNLI,39.2
WNLI,RTE,43.6
WNLI,WNLI,44.4
WNLI,SNLI,37.9
WNLI,SciTail,42.3
SNLI,CoLA,47.4
SNLI,SST-2,49.3
SNLI,MRPC,51.9
SNLI,STS-B,55.4
SNLI,QQP,56.4
SNLI,MNLI,79.5
SNLI,QNLI,56.3
SNLI,RTE,50.5
SNLI,WNLI,48.3
SNLI,SNLI,46.7
SNLI,SciTail,56.1
SciTail,CoLA,68.6
SciTail,SST-2,64.5
SciTail,MRPC,84.7
SciTail,STS-B,86.4
SciTail,QQP,88.2
SciTail,MNLI,85.5
SciTail,QNLI,84.0
SciTail,RTE,71.3
SciTail,WNLI,67.9
SciTail,SNLI,82.9
SciTail,SciTail,64.1
