sourceTask,destinationTask,value
CCG,CCG,95.6
CCG,POS-PTB,95.7
CCG,POS-EWT,95.6
CCG,Parent,95.6
CCG,GParent,95.6
CCG,GGParent,95.5
CCG,ST,95.5
CCG,Chunk,95.6
CCG,NER,95.4
CCG,GED,95.5
CCG,Conj,95.4
POS-PTB,CCG,96.7
POS-PTB,POS-PTB,96.7
POS-PTB,POS-EWT,96.7
POS-PTB,Parent,96.7
POS-PTB,GParent,96.7
POS-PTB,GGParent,96.6
POS-PTB,ST,96.6
POS-PTB,Chunk,96.7
POS-PTB,NER,96.7
POS-PTB,GED,96.7
POS-PTB,Conj,96.7
POS-EWT,CCG,96.4
POS-EWT,POS-PTB,96.7
POS-EWT,POS-EWT,96.6
POS-EWT,Parent,96.6
POS-EWT,GParent,96.6
POS-EWT,GGParent,96.5
POS-EWT,ST,96.5
POS-EWT,Chunk,96.5
POS-EWT,NER,96.6
POS-EWT,GED,96.6
POS-EWT,Conj,96.6
Parent,CCG,95.3
Parent,POS-PTB,95.3
Parent,POS-EWT,95.5
Parent,Parent,95.4
Parent,GParent,95.1
Parent,GGParent,95.4
Parent,ST,95.1
Parent,Chunk,95.2
Parent,NER,95.2
Parent,GED,95.2
Parent,Conj,95.4
GParent,CCG,91.8
GParent,POS-PTB,91.7
GParent,POS-EWT,91.9
GParent,Parent,91.9
GParent,GParent,91.9
GParent,GGParent,91.9
GParent,ST,91.6
GParent,Chunk,91.8
GParent,NER,91.7
GParent,GED,91.7
GParent,Conj,91.9
GGParent,CCG,89.6
GGParent,POS-PTB,89.1
GGParent,POS-EWT,89.3
GGParent,Parent,89.8
GGParent,GParent,90.0
GGParent,GGParent,89.5
GGParent,ST,89.3
GGParent,Chunk,89.5
GGParent,NER,89.1
GGParent,GED,89.3
GGParent,Conj,89.7
ST,CCG,95.8
ST,POS-PTB,95.7
ST,POS-EWT,95.8
ST,Parent,95.8
ST,GParent,95.8
ST,GGParent,95.8
ST,ST,95.8
ST,Chunk,95.7
ST,NER,95.8
ST,GED,95.8
ST,Conj,95.8
Chunk,CCG,97.7
Chunk,POS-PTB,97.0
Chunk,POS-EWT,97.0
Chunk,Parent,98.0
Chunk,GParent,97.6
Chunk,GGParent,97.5
Chunk,ST,96.9
Chunk,Chunk,97.1
Chunk,NER,97.0
Chunk,GED,97.0
Chunk,Conj,97.0
NER,CCG,94.0
NER,POS-PTB,94.6
NER,POS-EWT,94.6
NER,Parent,94.5
NER,GParent,94.6
NER,GGParent,94.5
NER,ST,94.9
NER,Chunk,94.6
NER,NER,94.7
NER,GED,94.7
NER,Conj,94.5
GED,CCG,45.8
GED,POS-PTB,46.5
GED,POS-EWT,46.1
GED,Parent,46.6
GED,GParent,46.5
GED,GGParent,46.5
GED,ST,46.2
GED,Chunk,46.4
GED,NER,47.3
GED,GED,46.6
GED,Conj,46.2
Conj,CCG,90.3
Conj,POS-PTB,90.2
Conj,POS-EWT,89.9
Conj,Parent,90.3
Conj,GParent,91.0
Conj,GGParent,90.8
Conj,ST,88.7
Conj,Chunk,89.7
Conj,NER,90.3
Conj,GED,90.2
Conj,Conj,89.4
