sourceTask,destinationTask,value
CCG,Baseline,53.2
CCG,CoLA,53.9
CCG,SST-2,54.0
CCG,MRPC,51.9
CCG,STS-B,53.5
CCG,QQP,52.5
CCG,MNLI,53.3
CCG,QNLI,53.4
CCG,RTE,52.5
CCG,WNLI,53.1
CCG,SNLI,52.0
CCG,SciTail,52.8
POS-PTB,Baseline,85.1
POS-PTB,CoLA,85.3
POS-PTB,SST-2,85.2
POS-PTB,MRPC,84.8
POS-PTB,STS-B,85.1
POS-PTB,QQP,84.4
POS-PTB,MNLI,84.8
POS-PTB,QNLI,85.7
POS-PTB,RTE,84.5
POS-PTB,WNLI,84.7
POS-PTB,SNLI,84.4
POS-PTB,SciTail,84.8
POS-EWT,Baseline,89.3
POS-EWT,CoLA,89.4
POS-EWT,SST-2,89.4
POS-EWT,MRPC,89.0
POS-EWT,STS-B,89.5
POS-EWT,QQP,88.8
POS-EWT,MNLI,89.4
POS-EWT,QNLI,89.6
POS-EWT,RTE,89.0
POS-EWT,WNLI,89.2
POS-EWT,SNLI,88.9
POS-EWT,SciTail,89.0
Parent,Baseline,81.9
Parent,CoLA,82.3
Parent,SST-2,82.1
Parent,MRPC,81.0
Parent,STS-B,81.3
Parent,QQP,81.2
Parent,MNLI,81.7
Parent,QNLI,82.1
Parent,RTE,81.2
Parent,WNLI,81.5
Parent,SNLI,80.9
Parent,SciTail,81.4
GParent,Baseline,62.8
GParent,CoLA,63.3
GParent,SST-2,63.4
GParent,MRPC,63.1
GParent,STS-B,62.9
GParent,QQP,63.6
GParent,MNLI,62.8
GParent,QNLI,63.2
GParent,RTE,63.0
GParent,WNLI,62.8
GParent,SNLI,62.2
GParent,SciTail,63.5
GGParent,Baseline,43.3
GGParent,CoLA,43.4
GGParent,SST-2,43.8
GGParent,MRPC,43.3
GGParent,STS-B,43.4
GGParent,QQP,43.1
GGParent,MNLI,43.0
GGParent,QNLI,44.0
GGParent,RTE,43.4
GGParent,WNLI,44.3
GGParent,SNLI,42.7
GGParent,SciTail,43.9
ST,Baseline,76.7
ST,CoLA,77.8
ST,SST-2,76.9
ST,MRPC,76.3
ST,STS-B,77.1
ST,QQP,76.2
ST,MNLI,77.1
ST,QNLI,77.1
ST,RTE,76.3
ST,WNLI,76.6
ST,SNLI,75.9
ST,SciTail,76.5
Chunk,Baseline,87.7
Chunk,CoLA,87.8
Chunk,SST-2,87.8
Chunk,MRPC,87.6
Chunk,STS-B,87.6
Chunk,QQP,87.5
Chunk,MNLI,87.8
Chunk,QNLI,87.8
Chunk,RTE,87.4
Chunk,WNLI,87.7
Chunk,SNLI,87.6
Chunk,SciTail,87.4
NER,Baseline,77.4
NER,CoLA,77.7
NER,SST-2,77.9
NER,MRPC,77.4
NER,STS-B,77.8
NER,QQP,77.7
NER,MNLI,77.4
NER,QNLI,78.6
NER,RTE,77.3
NER,WNLI,77.6
NER,SNLI,77.2
NER,SciTail,77.4
GED,Baseline,29.1
GED,CoLA,29.3
GED,SST-2,28.9
GED,MRPC,28.6
GED,STS-B,28.8
GED,QQP,28.6
GED,MNLI,28.4
GED,QNLI,29.1
GED,RTE,28.7
GED,WNLI,29.1
GED,SNLI,28.7
GED,SciTail,28.8
Conj,Baseline,73.3
Conj,CoLA,74.0
Conj,SST-2,74.2
Conj,MRPC,73.7
Conj,STS-B,72.7
Conj,QQP,74.3
Conj,MNLI,73.4
Conj,QNLI,73.6
Conj,RTE,74.2
Conj,WNLI,73.3
Conj,SNLI,73.0
Conj,SciTail,74.1
