sourceTask,destinationTask,value
CCG,Baseline,53.2
CCG,SQuAD-1,57.5
CCG,SQuAD-2,56.8
CCG,NewsQA,55.6
CCG,HotpotQA,47.3
CCG,BoolQ,50.8
CCG,DROP,56.1
CCG,WikiHop,53.3
CCG,DuoRC-p,53.2
CCG,DuoRC-s,55.4
CCG,CQ,54.1
CCG,ComQA,53.0
POS-PTB,Baseline,85.1
POS-PTB,SQuAD-1,86.7
POS-PTB,SQuAD-2,85.9
POS-PTB,NewsQA,85.2
POS-PTB,HotpotQA,81.9
POS-PTB,BoolQ,84.1
POS-PTB,DROP,86.9
POS-PTB,WikiHop,83.4
POS-PTB,DuoRC-p,84.0
POS-PTB,DuoRC-s,84.8
POS-PTB,CQ,85.4
POS-PTB,ComQA,81.9
POS-EWT,Baseline,89.3
POS-EWT,SQuAD-1,90.3
POS-EWT,SQuAD-2,89.9
POS-EWT,NewsQA,89.3
POS-EWT,HotpotQA,88.0
POS-EWT,BoolQ,88.6
POS-EWT,DROP,90.6
POS-EWT,WikiHop,88.6
POS-EWT,DuoRC-p,89.1
POS-EWT,DuoRC-s,89.5
POS-EWT,CQ,89.2
POS-EWT,ComQA,87.2
Parent,Baseline,81.9
Parent,SQuAD-1,83.5
Parent,SQuAD-2,82.7
Parent,NewsQA,81.3
Parent,HotpotQA,77.5
Parent,BoolQ,80.3
Parent,DROP,82.6
Parent,WikiHop,79.3
Parent,DuoRC-p,80.1
Parent,DuoRC-s,81.0
Parent,CQ,80.6
Parent,ComQA,79.0
GParent,Baseline,62.8
GParent,SQuAD-1,67.2
GParent,SQuAD-2,66.3
GParent,NewsQA,64.1
GParent,HotpotQA,62.6
GParent,BoolQ,60.8
GParent,DROP,66.1
GParent,WikiHop,60.5
GParent,DuoRC-p,62.6
GParent,DuoRC-s,64.3
GParent,CQ,65.5
GParent,ComQA,61.8
GGParent,Baseline,43.3
GGParent,SQuAD-1,48.7
GGParent,SQuAD-2,47.2
GGParent,NewsQA,46.3
GGParent,HotpotQA,41.7
GGParent,BoolQ,42.2
GGParent,DROP,47.3
GGParent,WikiHop,42.2
GGParent,DuoRC-p,43.0
GGParent,DuoRC-s,43.8
GGParent,CQ,47.2
GGParent,ComQA,44.3
ST,Baseline,76.7
ST,SQuAD-1,79.4
ST,SQuAD-2,78.7
ST,NewsQA,78.4
ST,HotpotQA,74.7
ST,BoolQ,75.6
ST,DROP,80.2
ST,WikiHop,77.2
ST,DuoRC-p,76.2
ST,DuoRC-s,77.3
ST,CQ,77.8
ST,ComQA,75.4
Chunk,Baseline,87.7
Chunk,SQuAD-1,88.7
Chunk,SQuAD-2,88.2
Chunk,NewsQA,87.5
Chunk,HotpotQA,86.1
Chunk,BoolQ,87.2
Chunk,DROP,88.4
Chunk,WikiHop,86.3
Chunk,DuoRC-p,87.0
Chunk,DuoRC-s,87.6
Chunk,CQ,87.5
Chunk,ComQA,86.6
NER,Baseline,77.4
NER,SQuAD-1,84.2
NER,SQuAD-2,83.7
NER,NewsQA,81.0
NER,HotpotQA,76.0
NER,BoolQ,74.1
NER,DROP,82.3
NER,WikiHop,77.5
NER,DuoRC-p,79.0
NER,DuoRC-s,81.9
NER,CQ,75.9
NER,ComQA,71.7
GED,Baseline,29.1
GED,SQuAD-1,27.9
GED,SQuAD-2,28.6
GED,NewsQA,27.0
GED,HotpotQA,26.7
GED,BoolQ,25.8
GED,DROP,29.7
GED,WikiHop,28.9
GED,DuoRC-p,26.4
GED,DuoRC-s,28.5
GED,CQ,30.6
GED,ComQA,27.2
Conj,Baseline,73.3
Conj,SQuAD-1,77.6
Conj,SQuAD-2,75.6
Conj,NewsQA,73.3
Conj,HotpotQA,69.0
Conj,BoolQ,73.8
Conj,DROP,76.3
Conj,WikiHop,66.3
Conj,DuoRC-p,71.5
Conj,DuoRC-s,72.9
Conj,CQ,72.9
Conj,ComQA,68.8
