sourceTask,destinationTask,value
CCG,Baseline,53.2
CCG,SQuAD-1,56.2
CCG,SQuAD-2,56.4
CCG,NewsQA,54.7
CCG,HotpotQA,55.7
CCG,BoolQ,53.4
CCG,DROP,54.2
CCG,WikiHop,55.6
CCG,DuoRC-p,56.5
CCG,DuoRC-s,55.7
CCG,CQ,51.5
CCG,ComQA,54.3
POS-PTB,Baseline,85.1
POS-PTB,SQuAD-1,86.4
POS-PTB,SQuAD-2,86.8
POS-PTB,NewsQA,86.2
POS-PTB,HotpotQA,85.7
POS-PTB,BoolQ,85.5
POS-PTB,DROP,85.3
POS-PTB,WikiHop,87.4
POS-PTB,DuoRC-p,87.5
POS-PTB,DuoRC-s,86.7
POS-PTB,CQ,84.6
POS-PTB,ComQA,85.4
POS-EWT,Baseline,89.3
POS-EWT,SQuAD-1,90.1
POS-EWT,SQuAD-2,90.3
POS-EWT,NewsQA,90.0
POS-EWT,HotpotQA,89.8
POS-EWT,BoolQ,89.5
POS-EWT,DROP,89.5
POS-EWT,WikiHop,90.5
POS-EWT,DuoRC-p,90.4
POS-EWT,DuoRC-s,90.0
POS-EWT,CQ,89.2
POS-EWT,ComQA,89.5
Parent,Baseline,81.9
Parent,SQuAD-1,83.0
Parent,SQuAD-2,83.1
Parent,NewsQA,82.4
Parent,HotpotQA,81.3
Parent,BoolQ,80.7
Parent,DROP,82.5
Parent,WikiHop,82.9
Parent,DuoRC-p,82.9
Parent,DuoRC-s,82.2
Parent,CQ,81.4
Parent,ComQA,81.8
GParent,Baseline,62.8
GParent,SQuAD-1,64.0
GParent,SQuAD-2,63.7
GParent,NewsQA,64.7
GParent,HotpotQA,65.1
GParent,BoolQ,63.2
GParent,DROP,63.4
GParent,WikiHop,64.8
GParent,DuoRC-p,64.4
GParent,DuoRC-s,64.4
GParent,CQ,65.0
GParent,ComQA,64.2
GGParent,Baseline,43.3
GGParent,SQuAD-1,45.7
GGParent,SQuAD-2,45.1
GGParent,NewsQA,46.2
GGParent,HotpotQA,46.4
GGParent,BoolQ,43.0
GGParent,DROP,44.2
GGParent,WikiHop,45.4
GGParent,DuoRC-p,46.1
GGParent,DuoRC-s,45.2
GGParent,CQ,45.7
GGParent,ComQA,46.8
ST,Baseline,76.7
ST,SQuAD-1,78.4
ST,SQuAD-2,78.7
ST,NewsQA,78.5
ST,HotpotQA,79.0
ST,BoolQ,76.5
ST,DROP,77.6
ST,WikiHop,80.1
ST,DuoRC-p,79.6
ST,DuoRC-s,78.5
ST,CQ,76.5
ST,ComQA,77.5
Chunk,Baseline,87.7
Chunk,SQuAD-1,88.4
Chunk,SQuAD-2,88.3
Chunk,NewsQA,88.2
Chunk,HotpotQA,88.1
Chunk,BoolQ,87.6
Chunk,DROP,88.0
Chunk,WikiHop,88.3
Chunk,DuoRC-p,88.4
Chunk,DuoRC-s,88.2
Chunk,CQ,87.3
Chunk,ComQA,88.4
NER,Baseline,77.4
NER,SQuAD-1,76.9
NER,SQuAD-2,77.0
NER,NewsQA,80.5
NER,HotpotQA,82.0
NER,BoolQ,71.7
NER,DROP,79.4
NER,WikiHop,81.3
NER,DuoRC-p,80.7
NER,DuoRC-s,80.4
NER,CQ,76.7
NER,ComQA,79.3
GED,Baseline,29.1
GED,SQuAD-1,30.3
GED,SQuAD-2,30.5
GED,NewsQA,30.9
GED,HotpotQA,31.6
GED,BoolQ,28.5
GED,DROP,29.0
GED,WikiHop,31.6
GED,DuoRC-p,31.7
GED,DuoRC-s,29.9
GED,CQ,30.8
GED,ComQA,29.1
Conj,Baseline,73.3
Conj,SQuAD-1,74.5
Conj,SQuAD-2,75.0
Conj,NewsQA,73.5
Conj,HotpotQA,74.3
Conj,BoolQ,74.6
Conj,DROP,74.1
Conj,WikiHop,73.4
Conj,DuoRC-p,73.6
Conj,DuoRC-s,73.4
Conj,CQ,70.5
Conj,ComQA,72.4
