sourceTask,destinationTask,value
CoLA,CoLA,4.7
CoLA,SST-2,4.2
CoLA,MRPC,2.5
CoLA,STS-B,6.7
CoLA,QQP,3.2
CoLA,MNLI,3.7
CoLA,QNLI,4.9
CoLA,RTE,5.0
CoLA,WNLI,3.8
CoLA,SNLI,4.6
CoLA,SciTail,5.8
SST-2,CoLA,74.8
SST-2,SST-2,77.5
SST-2,MRPC,75.2
SST-2,STS-B,76.7
SST-2,QQP,76.6
SST-2,MNLI,75.3
SST-2,QNLI,78.3
SST-2,RTE,77.4
SST-2,WNLI,74.9
SST-2,SNLI,74.9
SST-2,SciTail,77.5
MRPC,CoLA,81.9
MRPC,SST-2,81.9
MRPC,MRPC,81.9
MRPC,STS-B,82.0
MRPC,QQP,82.1
MRPC,MNLI,82.1
MRPC,QNLI,81.8
MRPC,RTE,82.1
MRPC,WNLI,81.9
MRPC,SNLI,81.8
MRPC,SciTail,82.2
STS-B,CoLA,24.1
STS-B,SST-2,27.9
STS-B,MRPC,45.2
STS-B,STS-B,29.9
STS-B,QQP,35.7
STS-B,MNLI,35.7
STS-B,QNLI,33.2
STS-B,RTE,32.9
STS-B,WNLI,49.9
STS-B,SNLI,44.6
STS-B,SciTail,26.0
QQP,CoLA,28.0
QQP,SST-2,33.4
QQP,MRPC,40.0
QQP,STS-B,43.8
QQP,QQP,25.7
QQP,MNLI,33.6
QQP,QNLI,35.4
QQP,RTE,35.5
QQP,WNLI,40.2
QQP,SNLI,39.7
QQP,SciTail,33.8
MNLI,CoLA,38.4
MNLI,SST-2,39.1
MNLI,MRPC,41.2
MNLI,STS-B,43.9
MNLI,QQP,40.4
MNLI,MNLI,38.7
MNLI,QNLI,40.4
MNLI,RTE,40.4
MNLI,WNLI,42.6
MNLI,SNLI,42.9
MNLI,SciTail,40.2
QNLI,CoLA,62.3
QNLI,SST-2,63.8
QNLI,MRPC,68.8
QNLI,STS-B,73.2
QNLI,QQP,65.5
QNLI,MNLI,64.9
QNLI,QNLI,62.4
QNLI,RTE,65.1
QNLI,WNLI,70.2
QNLI,SNLI,68.6
QNLI,SciTail,64.8
RTE,CoLA,54.8
RTE,SST-2,55.9
RTE,MRPC,57.2
RTE,STS-B,58.6
RTE,QQP,55.5
RTE,MNLI,55.5
RTE,QNLI,55.7
RTE,RTE,54.7
RTE,WNLI,57.9
RTE,SNLI,59.6
RTE,SciTail,54.5
WNLI,CoLA,43.7
WNLI,SST-2,43.9
WNLI,MRPC,41.7
WNLI,STS-B,39.2
WNLI,QQP,39.7
WNLI,MNLI,46.3
WNLI,QNLI,43.1
WNLI,RTE,43.0
WNLI,WNLI,44.4
WNLI,SNLI,39.4
WNLI,SciTail,44.9
SNLI,CoLA,47.1
SNLI,SST-2,47.8
SNLI,MRPC,51.3
SNLI,STS-B,51.8
SNLI,QQP,49.8
SNLI,MNLI,49.3
SNLI,QNLI,48.3
SNLI,RTE,48.2
SNLI,WNLI,51.6
SNLI,SNLI,46.7
SNLI,SciTail,47.2
SciTail,CoLA,65.2
SciTail,SST-2,65.3
SciTail,MRPC,73.1
SciTail,STS-B,79.3
SciTail,QQP,69.3
SciTail,MNLI,69.8
SciTail,QNLI,71.6
SciTail,RTE,67.6
SciTail,WNLI,78.5
SciTail,SNLI,77.9
SciTail,SciTail,64.1
