sourceTask,destinationTask,value
CCG,CCG,53.2
CCG,POS-PTB,72.0
CCG,POS-EWT,68.2
CCG,Parent,66.2
CCG,GParent,64.5
CCG,GGParent,59.7
CCG,ST,72.4
CCG,Chunk,67.5
CCG,NER,47.2
CCG,GED,56.1
CCG,Conj,48.9
POS-PTB,CCG,89.8
POS-PTB,POS-PTB,85.1
POS-PTB,POS-EWT,88.5
POS-PTB,Parent,88.5
POS-PTB,GParent,87.2
POS-PTB,GGParent,82.8
POS-PTB,ST,92.6
POS-PTB,Chunk,88.9
POS-PTB,NER,83.1
POS-PTB,GED,87.0
POS-PTB,Conj,84.3
POS-EWT,CCG,91.9
POS-EWT,POS-PTB,93.9
POS-EWT,POS-EWT,89.3
POS-EWT,Parent,92.6
POS-EWT,GParent,90.8
POS-EWT,GGParent,89.8
POS-EWT,ST,93.2
POS-EWT,Chunk,92.0
POS-EWT,NER,90.1
POS-EWT,GED,89.9
POS-EWT,Conj,89.1
Parent,CCG,87.1
Parent,POS-PTB,87.7
Parent,POS-EWT,86.4
Parent,Parent,81.9
Parent,GParent,90.5
Parent,GGParent,89.4
Parent,ST,87.4
Parent,Chunk,90.0
Parent,NER,79.0
Parent,GED,82.3
Parent,Conj,79.5
GParent,CCG,74.5
GParent,POS-PTB,68.4
GParent,POS-EWT,66.2
GParent,Parent,75.8
GParent,GParent,62.8
GParent,GGParent,88.2
GParent,ST,71.2
GParent,Chunk,71.9
GParent,NER,62.7
GParent,GED,66.7
GParent,Conj,67.9
GGParent,CCG,54.0
GGParent,POS-PTB,49.5
GGParent,POS-EWT,47.5
GGParent,Parent,55.4
GGParent,GParent,77.4
GGParent,GGParent,43.3
GGParent,ST,50.3
GGParent,Chunk,53.3
GGParent,NER,42.0
GGParent,GED,47.1
GGParent,Conj,49.1
ST,CCG,84.0
ST,POS-PTB,86.3
ST,POS-EWT,83.4
ST,Parent,82.4
ST,GParent,81.6
ST,GGParent,78.7
ST,ST,76.7
ST,Chunk,83.3
ST,NER,78.0
ST,GED,80.2
ST,Conj,76.6
Chunk,CCG,92.9
Chunk,POS-PTB,91.2
Chunk,POS-EWT,91.8
Chunk,Parent,94.3
Chunk,GParent,92.0
Chunk,GGParent,91.0
Chunk,ST,91.1
Chunk,Chunk,87.7
Chunk,NER,85.9
Chunk,GED,88.2
Chunk,Conj,87.4
NER,CCG,67.9
NER,POS-PTB,83.3
NER,POS-EWT,81.3
NER,Parent,78.3
NER,GParent,76.4
NER,GGParent,76.8
NER,ST,87.0
NER,Chunk,76.1
NER,NER,77.4
NER,GED,79.9
NER,Conj,77.4
GED,CCG,24.3
GED,POS-PTB,28.8
GED,POS-EWT,29.1
GED,Parent,28.7
GED,GParent,24.2
GED,GGParent,19.9
GED,ST,29.7
GED,Chunk,28.7
GED,NER,29.4
GED,GED,29.1
GED,Conj,28.1
Conj,CCG,73.2
Conj,POS-PTB,69.5
Conj,POS-EWT,70.9
Conj,Parent,76.5
Conj,GParent,83.4
Conj,GGParent,85.1
Conj,ST,66.6
Conj,Chunk,77.5
Conj,NER,72.6
Conj,GED,70.6
Conj,Conj,73.3
