sourceTask,destinationTask,value
CCG,CCG,53.2
CCG,POS-PTB,68.2
CCG,POS-EWT,66.7
CCG,Parent,66.0
CCG,GParent,63.7
CCG,GGParent,59.2
CCG,ST,67.5
CCG,Chunk,66.7
CCG,NER,50.7
CCG,GED,54.3
CCG,Conj,55.0
POS-PTB,CCG,88.6
POS-PTB,POS-PTB,85.1
POS-PTB,POS-EWT,88.7
POS-PTB,Parent,88.5
POS-PTB,GParent,87.9
POS-PTB,GGParent,87.1
POS-PTB,ST,89.6
POS-PTB,Chunk,88.7
POS-PTB,NER,83.8
POS-PTB,GED,85.4
POS-PTB,Conj,85.2
POS-EWT,CCG,90.8
POS-EWT,POS-PTB,92.0
POS-EWT,POS-EWT,89.3
POS-EWT,Parent,91.5
POS-EWT,GParent,90.7
POS-EWT,GGParent,90.2
POS-EWT,ST,91.7
POS-EWT,Chunk,91.5
POS-EWT,NER,89.7
POS-EWT,GED,89.5
POS-EWT,Conj,89.3
Parent,CCG,85.7
Parent,POS-PTB,85.7
Parent,POS-EWT,86.0
Parent,Parent,81.9
Parent,GParent,86.4
Parent,GGParent,84.6
Parent,ST,86.1
Parent,Chunk,86.9
Parent,NER,79.6
Parent,GED,81.6
Parent,Conj,81.0
GParent,CCG,64.9
GParent,POS-PTB,65.3
GParent,POS-EWT,65.0
GParent,Parent,68.5
GParent,GParent,62.8
GParent,GGParent,71.3
GParent,ST,66.2
GParent,Chunk,69.0
GParent,NER,63.1
GParent,GED,64.5
GParent,Conj,65.6
GGParent,CCG,44.2
GGParent,POS-PTB,43.6
GGParent,POS-EWT,43.0
GGParent,Parent,47.6
GGParent,GParent,58.1
GGParent,GGParent,43.3
GGParent,ST,46.2
GGParent,Chunk,50.8
GGParent,NER,41.7
GGParent,GED,45.2
GGParent,Conj,44.7
ST,CCG,80.0
ST,POS-PTB,83.2
ST,POS-EWT,82.6
ST,Parent,80.5
ST,GParent,80.0
ST,GGParent,78.4
ST,ST,76.7
ST,Chunk,81.4
ST,NER,79.0
ST,GED,78.0
ST,Conj,77.2
Chunk,CCG,89.3
Chunk,POS-PTB,89.5
Chunk,POS-EWT,90.2
Chunk,Parent,90.3
Chunk,GParent,89.9
Chunk,GGParent,89.2
Chunk,ST,90.0
Chunk,Chunk,87.7
Chunk,NER,86.2
Chunk,GED,87.9
Chunk,Conj,87.3
NER,CCG,63.3
NER,POS-PTB,76.9
NER,POS-EWT,77.7
NER,Parent,74.0
NER,GParent,70.1
NER,GGParent,73.3
NER,ST,77.5
NER,Chunk,71.1
NER,NER,77.4
NER,GED,78.7
NER,Conj,77.3
GED,CCG,27.8
GED,POS-PTB,28.5
GED,POS-EWT,27.1
GED,Parent,29.1
GED,GParent,29.3
GED,GGParent,29.9
GED,ST,28.5
GED,Chunk,28.6
GED,NER,29.6
GED,GED,29.1
GED,Conj,29.5
Conj,CCG,66.3
Conj,POS-PTB,61.5
Conj,POS-EWT,57.7
Conj,Parent,66.7
Conj,GParent,75.9
Conj,GGParent,77.6
Conj,ST,64.9
Conj,Chunk,72.6
Conj,NER,69.9
Conj,GED,75.2
Conj,Conj,73.3
