sourceTask,destinationTask,value
SQuAD-1,Baseline,87.9
SQuAD-1,CCG,87.0
SQuAD-1,POS-PTB,87.4
SQuAD-1,POS-EWT,85.9
SQuAD-1,Parent,87.4
SQuAD-1,GParent,87.6
SQuAD-1,GGParent,87.7
SQuAD-1,ST,87.6
SQuAD-1,Chunk,87.8
SQuAD-1,NER,88.1
SQuAD-1,GED,87.5
SQuAD-1,Conj,87.8
SQuAD-2,Baseline,71.9
SQuAD-2,CCG,68.1
SQuAD-2,POS-PTB,70.2
SQuAD-2,POS-EWT,66.7
SQuAD-2,Parent,69.5
SQuAD-2,GParent,70.2
SQuAD-2,GGParent,71.0
SQuAD-2,ST,70.7
SQuAD-2,Chunk,69.1
SQuAD-2,NER,70.0
SQuAD-2,GED,69.7
SQuAD-2,Conj,70.6
NewsQA,Baseline,64.1
NewsQA,CCG,63.8
NewsQA,POS-PTB,62.2
NewsQA,POS-EWT,62.6
NewsQA,Parent,64.4
NewsQA,GParent,64.1
NewsQA,GGParent,64.8
NewsQA,ST,62.6
NewsQA,Chunk,62.3
NewsQA,NER,63.7
NewsQA,GED,65.0
NewsQA,Conj,64.7
HotpotQA,Baseline,67.9
HotpotQA,CCG,66.3
HotpotQA,POS-PTB,65.8
HotpotQA,POS-EWT,66.2
HotpotQA,Parent,67.9
HotpotQA,GParent,67.9
HotpotQA,GGParent,67.1
HotpotQA,ST,68.0
HotpotQA,Chunk,66.4
HotpotQA,NER,67.0
HotpotQA,GED,67.8
HotpotQA,Conj,68.3
BoolQ,Baseline,65.7
BoolQ,CCG,65.5
BoolQ,POS-PTB,64.7
BoolQ,POS-EWT,65.4
BoolQ,Parent,66.4
BoolQ,GParent,65.8
BoolQ,GGParent,67.0
BoolQ,ST,63.7
BoolQ,Chunk,65.6
BoolQ,NER,66.6
BoolQ,GED,65.2
BoolQ,Conj,66.3
DROP,Baseline,22.4
DROP,CCG,22.0
DROP,POS-PTB,21.6
DROP,POS-EWT,22.0
DROP,Parent,21.9
DROP,GParent,22.7
DROP,GGParent,21.8
DROP,ST,21.9
DROP,Chunk,22.5
DROP,NER,22.5
DROP,GED,22.3
DROP,Conj,21.8
WikiHop,Baseline,62.8
WikiHop,CCG,62.2
WikiHop,POS-PTB,62.2
WikiHop,POS-EWT,62.6
WikiHop,Parent,63.1
WikiHop,GParent,61.9
WikiHop,GGParent,62.1
WikiHop,ST,61.7
WikiHop,Chunk,62.6
WikiHop,NER,62.6
WikiHop,GED,63.0
WikiHop,Conj,63.2
DuoRC-p,Baseline,50.6
DuoRC-p,CCG,49.7
DuoRC-p,POS-PTB,49.7
DuoRC-p,POS-EWT,50.2
DuoRC-p,Parent,51.3
DuoRC-p,GParent,50.5
DuoRC-p,GGParent,50.6
DuoRC-p,ST,50.3
DuoRC-p,Chunk,51.2
DuoRC-p,NER,51.1
DuoRC-p,GED,50.7
DuoRC-p,Conj,50.6
DuoRC-s,Baseline,63.3
DuoRC-s,CCG,62.1
DuoRC-s,POS-PTB,63.5
DuoRC-s,POS-EWT,63.8
DuoRC-s,Parent,63.3
DuoRC-s,GParent,62.8
DuoRC-s,GGParent,61.8
DuoRC-s,ST,63.2
DuoRC-s,Chunk,62.9
DuoRC-s,NER,63.6
DuoRC-s,GED,62.4
DuoRC-s,Conj,61.8
CQ,Baseline,30.5
CQ,CCG,30.5
CQ,POS-PTB,28.4
CQ,POS-EWT,33.7
CQ,Parent,34.3
CQ,GParent,35.1
CQ,GGParent,28.8
CQ,ST,30.2
CQ,Chunk,30.0
CQ,NER,34.6
CQ,GED,30.5
CQ,Conj,30.7
ComQA,Baseline,63.2
ComQA,CCG,61.1
ComQA,POS-PTB,62.8
ComQA,POS-EWT,61.5
ComQA,Parent,62.3
ComQA,GParent,62.2
ComQA,GGParent,63.1
ComQA,ST,61.6
ComQA,Chunk,61.1
ComQA,NER,62.6
ComQA,GED,62.3
ComQA,Conj,64.3
