sourceTask,destinationTask,value
CCG,Baseline,95.6
CCG,CoLA,95.5
CCG,SST-2,95.6
CCG,MRPC,95.6
CCG,STS-B,95.4
CCG,QQP,95.5
CCG,MNLI,95.4
CCG,QNLI,95.5
CCG,RTE,95.5
CCG,WNLI,95.5
CCG,SNLI,95.5
CCG,SciTail,95.5
POS-PTB,Baseline,96.7
POS-PTB,CoLA,96.7
POS-PTB,SST-2,96.7
POS-PTB,MRPC,96.6
POS-PTB,STS-B,96.7
POS-PTB,QQP,96.7
POS-PTB,MNLI,96.7
POS-PTB,QNLI,96.7
POS-PTB,RTE,96.7
POS-PTB,WNLI,96.7
POS-PTB,SNLI,96.7
POS-PTB,SciTail,96.7
POS-EWT,Baseline,96.6
POS-EWT,CoLA,96.7
POS-EWT,SST-2,96.6
POS-EWT,MRPC,96.6
POS-EWT,STS-B,96.6
POS-EWT,QQP,96.7
POS-EWT,MNLI,96.6
POS-EWT,QNLI,96.7
POS-EWT,RTE,96.6
POS-EWT,WNLI,96.5
POS-EWT,SNLI,96.7
POS-EWT,SciTail,96.7
Parent,Baseline,95.4
Parent,CoLA,95.2
Parent,SST-2,95.3
Parent,MRPC,95.2
Parent,STS-B,95.2
Parent,QQP,95.1
Parent,MNLI,95.1
Parent,QNLI,95.3
Parent,RTE,95.3
Parent,WNLI,95.4
Parent,SNLI,95.2
Parent,SciTail,95.2
GParent,Baseline,91.9
GParent,CoLA,91.8
GParent,SST-2,91.8
GParent,MRPC,91.9
GParent,STS-B,91.4
GParent,QQP,91.7
GParent,MNLI,91.9
GParent,QNLI,91.8
GParent,RTE,92.0
GParent,WNLI,91.8
GParent,SNLI,91.8
GParent,SciTail,92.0
GGParent,Baseline,89.5
GGParent,CoLA,89.4
GGParent,SST-2,89.4
GGParent,MRPC,89.4
GGParent,STS-B,89.2
GGParent,QQP,89.3
GGParent,MNLI,89.0
GGParent,QNLI,89.6
GGParent,RTE,89.5
GGParent,WNLI,89.5
GGParent,SNLI,89.3
GGParent,SciTail,89.4
ST,Baseline,95.8
ST,CoLA,95.8
ST,SST-2,95.8
ST,MRPC,95.8
ST,STS-B,95.8
ST,QQP,95.8
ST,MNLI,95.7
ST,QNLI,95.8
ST,RTE,95.8
ST,WNLI,95.8
ST,SNLI,95.8
ST,SciTail,95.8
Chunk,Baseline,97.1
Chunk,CoLA,97.0
Chunk,SST-2,97.0
Chunk,MRPC,97.0
Chunk,STS-B,97.0
Chunk,QQP,97.1
Chunk,MNLI,97.1
Chunk,QNLI,97.0
Chunk,RTE,96.9
Chunk,WNLI,97.0
Chunk,SNLI,97.0
Chunk,SciTail,97.0
NER,Baseline,94.7
NER,CoLA,94.6
NER,SST-2,94.6
NER,MRPC,94.5
NER,STS-B,94.3
NER,QQP,94.6
NER,MNLI,94.6
NER,QNLI,94.7
NER,RTE,94.7
NER,WNLI,94.5
NER,SNLI,94.3
NER,SciTail,94.5
GED,Baseline,46.6
GED,CoLA,46.6
GED,SST-2,47.0
GED,MRPC,47.0
GED,STS-B,46.5
GED,QQP,46.4
GED,MNLI,46.6
GED,QNLI,46.9
GED,RTE,47.4
GED,WNLI,46.3
GED,SNLI,46.3
GED,SciTail,46.2
Conj,Baseline,89.4
Conj,CoLA,89.8
Conj,SST-2,89.9
Conj,MRPC,90.3
Conj,STS-B,89.8
Conj,QQP,90.4
Conj,MNLI,90.4
Conj,QNLI,89.5
Conj,RTE,89.7
Conj,WNLI,89.4
Conj,SNLI,89.7
Conj,SciTail,89.5
