sourceTask,destinationTask,value
CCG,Baseline,53.2
CCG,CoLA,48.9
CCG,SST-2,50.0
CCG,MRPC,53.0
CCG,STS-B,56.6
CCG,QQP,50.3
CCG,MNLI,50.1
CCG,QNLI,49.5
CCG,RTE,51.3
CCG,WNLI,53.3
CCG,SNLI,52.0
CCG,SciTail,51.8
POS-PTB,Baseline,85.1
POS-PTB,CoLA,83.9
POS-PTB,SST-2,83.5
POS-PTB,MRPC,84.8
POS-PTB,STS-B,86.6
POS-PTB,QQP,83.6
POS-PTB,MNLI,82.5
POS-PTB,QNLI,83.5
POS-PTB,RTE,84.4
POS-PTB,WNLI,84.8
POS-PTB,SNLI,83.7
POS-PTB,SciTail,84.4
POS-EWT,Baseline,89.3
POS-EWT,CoLA,88.8
POS-EWT,SST-2,88.4
POS-EWT,MRPC,89.3
POS-EWT,STS-B,90.4
POS-EWT,QQP,88.8
POS-EWT,MNLI,88.6
POS-EWT,QNLI,89.0
POS-EWT,RTE,88.9
POS-EWT,WNLI,89.3
POS-EWT,SNLI,88.6
POS-EWT,SciTail,89.1
Parent,Baseline,81.9
Parent,CoLA,79.9
Parent,SST-2,79.0
Parent,MRPC,80.8
Parent,STS-B,81.9
Parent,QQP,80.3
Parent,MNLI,79.6
Parent,QNLI,80.3
Parent,RTE,80.7
Parent,WNLI,81.7
Parent,SNLI,81.1
Parent,SciTail,80.6
GParent,Baseline,62.8
GParent,CoLA,63.2
GParent,SST-2,61.8
GParent,MRPC,62.3
GParent,STS-B,61.4
GParent,QQP,62.1
GParent,MNLI,61.4
GParent,QNLI,63.1
GParent,RTE,62.8
GParent,WNLI,62.5
GParent,SNLI,62.7
GParent,SciTail,64.0
GGParent,Baseline,43.3
GGParent,CoLA,42.4
GGParent,SST-2,42.5
GGParent,MRPC,42.7
GGParent,STS-B,42.0
GGParent,QQP,43.2
GGParent,MNLI,41.9
GGParent,QNLI,41.9
GGParent,RTE,42.9
GGParent,WNLI,42.7
GGParent,SNLI,42.4
GGParent,SciTail,43.5
ST,Baseline,76.7
ST,CoLA,75.2
ST,SST-2,75.7
ST,MRPC,76.8
ST,STS-B,77.7
ST,QQP,75.1
ST,MNLI,74.7
ST,QNLI,76.0
ST,RTE,76.1
ST,WNLI,76.4
ST,SNLI,76.1
ST,SciTail,76.3
Chunk,Baseline,87.7
Chunk,CoLA,87.1
Chunk,SST-2,86.9
Chunk,MRPC,87.4
Chunk,STS-B,87.9
Chunk,QQP,86.7
Chunk,MNLI,86.5
Chunk,QNLI,87.1
Chunk,RTE,87.5
Chunk,WNLI,87.7
Chunk,SNLI,87.3
Chunk,SciTail,87.7
NER,Baseline,77.4
NER,CoLA,77.3
NER,SST-2,78.6
NER,MRPC,77.2
NER,STS-B,72.1
NER,QQP,78.8
NER,MNLI,79.8
NER,QNLI,80.7
NER,RTE,77.3
NER,WNLI,76.5
NER,SNLI,79.1
NER,SciTail,77.6
GED,Baseline,29.1
GED,CoLA,26.8
GED,SST-2,27.3
GED,MRPC,27.9
GED,STS-B,29.1
GED,QQP,26.5
GED,MNLI,27.0
GED,QNLI,27.0
GED,RTE,28.0
GED,WNLI,28.8
GED,SNLI,28.0
GED,SciTail,28.8
Conj,Baseline,73.3
Conj,CoLA,71.6
Conj,SST-2,73.3
Conj,MRPC,72.7
Conj,STS-B,72.1
Conj,QQP,71.5
Conj,MNLI,74.2
Conj,QNLI,75.2
Conj,RTE,73.7
Conj,WNLI,73.2
Conj,SNLI,73.8
Conj,SciTail,75.2
