sourceTask,destinationTask,value
CCG,Baseline,95.6
CCG,SQuAD-1,95.4
CCG,SQuAD-2,95.4
CCG,NewsQA,95.5
CCG,HotpotQA,95.4
CCG,BoolQ,95.5
CCG,DROP,95.5
CCG,WikiHop,95.5
CCG,DuoRC-p,95.4
CCG,DuoRC-s,95.5
CCG,CQ,95.4
CCG,ComQA,95.5
POS-PTB,Baseline,96.7
POS-PTB,SQuAD-1,96.7
POS-PTB,SQuAD-2,96.7
POS-PTB,NewsQA,96.7
POS-PTB,HotpotQA,96.7
POS-PTB,BoolQ,96.7
POS-PTB,DROP,96.7
POS-PTB,WikiHop,96.7
POS-PTB,DuoRC-p,96.7
POS-PTB,DuoRC-s,96.7
POS-PTB,CQ,96.7
POS-PTB,ComQA,96.7
POS-EWT,Baseline,96.6
POS-EWT,SQuAD-1,96.7
POS-EWT,SQuAD-2,96.6
POS-EWT,NewsQA,96.4
POS-EWT,HotpotQA,96.3
POS-EWT,BoolQ,96.6
POS-EWT,DROP,96.7
POS-EWT,WikiHop,96.2
POS-EWT,DuoRC-p,96.4
POS-EWT,DuoRC-s,96.6
POS-EWT,CQ,96.6
POS-EWT,ComQA,96.5
Parent,Baseline,95.4
Parent,SQuAD-1,95.3
Parent,SQuAD-2,95.3
Parent,NewsQA,95.3
Parent,HotpotQA,95.1
Parent,BoolQ,95.3
Parent,DROP,95.3
Parent,WikiHop,95.2
Parent,DuoRC-p,95.4
Parent,DuoRC-s,95.3
Parent,CQ,95.3
Parent,ComQA,95.1
GParent,Baseline,91.9
GParent,SQuAD-1,91.8
GParent,SQuAD-2,91.8
GParent,NewsQA,91.6
GParent,HotpotQA,91.7
GParent,BoolQ,91.7
GParent,DROP,91.7
GParent,WikiHop,91.5
GParent,DuoRC-p,91.7
GParent,DuoRC-s,91.8
GParent,CQ,91.6
GParent,ComQA,91.7
GGParent,Baseline,89.5
GGParent,SQuAD-1,89.5
GGParent,SQuAD-2,89.4
GGParent,NewsQA,89.2
GGParent,HotpotQA,89.1
GGParent,BoolQ,89.5
GGParent,DROP,89.4
GGParent,WikiHop,89.0
GGParent,DuoRC-p,89.4
GGParent,DuoRC-s,89.3
GGParent,CQ,89.3
GGParent,ComQA,89.3
ST,Baseline,95.8
ST,SQuAD-1,95.8
ST,SQuAD-2,95.8
ST,NewsQA,95.8
ST,HotpotQA,95.8
ST,BoolQ,95.8
ST,DROP,95.8
ST,WikiHop,95.8
ST,DuoRC-p,95.7
ST,DuoRC-s,95.8
ST,CQ,95.8
ST,ComQA,95.7
Chunk,Baseline,97.1
Chunk,SQuAD-1,97.1
Chunk,SQuAD-2,97.1
Chunk,NewsQA,97.0
Chunk,HotpotQA,96.9
Chunk,BoolQ,96.9
Chunk,DROP,97.1
Chunk,WikiHop,96.8
Chunk,DuoRC-p,96.9
Chunk,DuoRC-s,97.1
Chunk,CQ,96.9
Chunk,ComQA,96.8
NER,Baseline,94.7
NER,SQuAD-1,94.8
NER,SQuAD-2,94.5
NER,NewsQA,94.4
NER,HotpotQA,94.5
NER,BoolQ,94.7
NER,DROP,94.5
NER,WikiHop,94.5
NER,DuoRC-p,94.4
NER,DuoRC-s,94.9
NER,CQ,94.5
NER,ComQA,94.1
GED,Baseline,46.6
GED,SQuAD-1,46.7
GED,SQuAD-2,46.4
GED,NewsQA,45.6
GED,HotpotQA,45.8
GED,BoolQ,47.2
GED,DROP,47.1
GED,WikiHop,46.8
GED,DuoRC-p,46.2
GED,DuoRC-s,46.5
GED,CQ,46.9
GED,ComQA,46.6
Conj,Baseline,89.4
Conj,SQuAD-1,90.3
Conj,SQuAD-2,89.9
Conj,NewsQA,90.0
Conj,HotpotQA,90.0
Conj,BoolQ,89.4
Conj,DROP,90.0
Conj,WikiHop,88.8
Conj,DuoRC-p,89.7
Conj,DuoRC-s,90.0
Conj,CQ,89.7
Conj,ComQA,89.2
